item_id,name,description
137,Rajasthani musician iron wall hanging,The contemporary wall hanging depicting Rajasthani folk dancers and musician performance. The wrought iron made wall décor from the skilled artisan. The high demand light weight and durable wall hanging is a piece of elegance. The gloss finished the wall hanging painted with bright colours having an attractive look. This can be the perfect wall décor for a traditional look to the living area of your home and office.
138,Rajasthani garba dance iron wall hanging,"The Rajasthani folk dancers performance depicted on a wall hanging looking magnificent. Decorated with vibrant colours. The handcrafted wall décor is high in demand with a high-quality stylish design. The product has a gloss finish, light weight and durable. The wall hanging can be a great masterpiece to be hanged at your home or office wall. Manufactured by skilled Indian artisans."
139,Framed tribal art key hanger,"The unique tribal art key hanger which is made up of zinc, nickel and an alloy of brass.  Brown square shaped wooden frame can be a perfect match to your interiors.  The fine quality wooden work on the out surface of the wall key hanger with brilliant handwork shown in craving the pair of a couple holding hands is a masterpiece is a work done by  Bastar artisan of Chhattisgarh."
140,Good luck mask key hanger style II,"Unique rustic key holder for the wall is also a luck mask made by the skilled artisan of Bastar, Dhokra Art from the Bastar tribe of Chhattisgarh. The material used to craft this key hanger is bell metal in the copper finish. These decorative wall key hooks are lightweight and ideal for both home and office."
141,Good luck mask key hanger style I,"A work of art, this tribal themed key holder is also a luck mask made by the skilled artisan of Bastar, Dhokra Art from the Bastar tribe of Chhattisgarh."
142,Peacock wrought iron key hanger,"Creative piece of an art showcasing the Peacock feather the signature of Lord Krishna wrapped around his flute. This decorative wall key hook is made of wrought iron that is long-lasting, lightweight, and can be mold smoothly in any stylish pattern. Best suited for both contemporary and traditional interiors of your home and office."
143,Boat with human figures,The traditional high quality wrought iron show piece depicting race boat animal headed. The handmade product is designed so well that it suits all kind of interiors. The elegant design of the fine quality material.Ideal for gifting in corporate and to family and friends.
144,Harmony – The musician set,"The authentic handcrafted wall decor manufactured by the wrought iron and wooden frame. Depicting 3 musicians playing tabla, shehnai, and dholak the traditional Indian culture of Rajasthan. Enclosed with the brown color wooden frame to give the product a stunning look. It can be placed in your office and home giving the traditional look to your place."
145,Musical Ganesha Showpiece,Handmade statue of musical Ganesha in a dhokra art style. The Ganesha playing dholak in a very calm mood. The superior quality metal has been used to design the product and polished with high-quality material which does not fade. It is the perfect piece of authentic and modern combination art to enhance the look of your living room.
146,Multi purpose wooden box,"Buy this Multi purpose wooden box, handmade by skilled Indian Artisans. It has classic brass hinge & closing clip to enhance its beauty. This wooden box have Bastar Art tribal figures on the top. It’s perfect for storing those memories and priceless pieces as well as your favorite fashion jewelry and accessories."
147,Salfi Tree Showpiece,This Salfi Tree Showpiece is handcrafted using Bell Metal & made by skilled artisans of Bastar region.
148,Trumphet,This beautifully crafted trumphet made from bell metal can be perfect showpiece for your living room.
149,Golden Wooden Photo Frame,Handcrafted by expert artisans this Golden Wood Photo Frame is perfect to showcase your memorable photos and impress your friends and relatives.
150,Wooden Single Photo Frame,"Use this Wooden Photo Frame For Gift to your loved ones, this unique photo frame reflects dhokra art and is made of bell metal and wood."
151,Dhokra Style Wooden Box,This is a unique and multipurpose Dhokra Style Wooden Box which is made of mango wood with dhokra style Jali of bell metal.
152,Wooden Utility Box,A unique storage Box with a slider to keep your belongings or other Jewellery materials. It can be used as decorative item as well due to its unique design.
153,Wooden Photo Frame,This beautifully hand crafted Wooden Photo Frame is made of bell metal and synthetic wooden frame which makes it light weight and durable.
154,Dhokra Art Photo Frame,Give your living room a new style with this handcrafted Dhokra Art Photo Frame. Put your favorite photos in it or gift this unique item to your friends.
155,Black tree with T-light holders,Handmade black candle stands made up of high quality wrought iron. The decorative candle stand has two candle holders in the basket hanging on the tree branches. The work was done by the professional makers on the stand over it designing; keeping the traditional and modern style combine is ultimate. It will match your interiors easily and gel up with the rest of the décor. Best gift to give your friends for house warming party.
156,Boat with human figures,The traditional high quality wrought iron show piece depicting race boat animal headed. The handmade product is designed so well that it suits all kind of interiors. The elegant design of the fine quality material.Ideal for gifting in corporate and to family and friends.
157,Harmony – The musician set,"The authentic handcrafted wall decor manufactured by the wrought iron and wooden frame. Depicting 3 musicians playing tabla, shehnai, and dholak the traditional Indian culture of Rajasthan. Enclosed with the brown color wooden frame to give the product a stunning look. It can be placed in your office and home giving the traditional look to your place."
158,Musical Ganesha Showpiece,Handmade statue of musical Ganesha in a dhokra art style. The Ganesha playing dholak in a very calm mood. The superior quality metal has been used to design the product and polished with high-quality material which does not fade. It is the perfect piece of authentic and modern combination art to enhance the look of your living room.
159,Multi purpose wooden box,"Buy this Multi purpose wooden box, handmade by skilled Indian Artisans. It has classic brass hinge & closing clip to enhance its beauty. This wooden box have Bastar Art tribal figures on the top. It’s perfect for storing those memories and priceless pieces as well as your favorite fashion jewelry and accessories."
160,Salfi Tree Showpiece,This Salfi Tree Showpiece is handcrafted using Bell Metal & made by skilled artisans of Bastar region.
161,Trumphet,This beautifully crafted trumphet made from bell metal can be perfect showpiece for your living room.
162,Sitar tabla iron wall hanging clock,The great artistic form of wall clock depicting sitar and table painted with so unique and vibrant colors. The high quality wrought iron is used by the artist to give the clock a wall décor form that looks pretty good and will enhance the look of your living area and office. The material used is light weight and used for a long time without any complication.
163,Dholak man iron wall hanging clock,"Traditional handmade wall clock depicting the musician playing dholak. Great use of the wrought iron has been made by the artist and the vibrant colors making it look more realistic and attractive. This beautiful product with awesome finish can be used in both home and office enhancing the look of your room. The high-quality wall clock is stylish, durable and light weight."
164,Tribal figures circular wall clock,"The unique antique tribal figures circular wall clock handcrafted by the expert’s artisans of Rajasthan. The wrought iron work is done brilliantly depicting the men holding a giant wheel around the base of the clock. The hand designing oven the wooden platform is so fine and beautiful that enhances the look of your wall. The product is of great finish, light weight and can be very durable."
165,Tribal Art Wall Clock,The high-quality designing and the raw material used to make this exclusive tribal figures square wall clock in the contemporary style. The tribal life depicting in the clock is made up of wrought iron styled with the wooden frame from outside. The color selection for the clock is brilliant which gives it a rustic look. Light weight and a long run product is a must buy.
166,Wooden elephant wall clock,The beautiful use of the wood and the wrought iron has been done while hand crafting this unique Wooden elephant wall clock. The clock is showcasing the life of tribal their way of living hunting and nature love. The sketch of an elephant is fantastic as if it seems real. The dark brown color of the clock gives a rustic feel to the clock with the great finish. The durable and light weight wall clock can be the best gift for friends and family.
167,Tribal figure spiral wall clock,"An elegant piece of art handcrafted by the skilled artist by using wrought iron. The tribal figure spiral wall clock depicting the character of tribal villagers and their animals. The black polish over the clock makes the product shiny and gives and awesome finish to it. The wall clock is light weight, durable and easily matches with your interiors whether it’s modern or traditional."
168,Peacock iron wall hanging clock,Peacock style wall clock is a modern day brilliant hand designing. The must buy the product in great demand on AuthIndia. This wall clock is not less than any wall hanging intensifying the aura and beauty of your room. Decorate your home and office with this high quality and great finish product made using wrought iron. The metal less weighted in nature and gives a long-term stability to the consumer.
169,Lady and camel iron wall hanging clock,Authentic Indian style wall clock created in the Rajasthan tribal lady and a camel looks radiant. Being made of superior quality wrought iron which gives a great finish to the product. The combination of traditional and modern art is so fabulous that catches everyone’s eyes. Put this beautiful wall clock in your drawing room and get ready to receive lots of compliments from your guests. The wall clock is not so heavy as the material its self is light weight and can be used for a long time.
170,Abstract couple iron wall hanging clock,"The musical couple handcrafted as a wall clock. Whereas man is playing dholak and lady is dancing taking a posture. The detailing over the cloth and accessories of the pair is awesome. The wrought iron made wall clock is an ideal gift for anyone on any occasion. The contemporary style wall clock will light weight and stylish, enhance your interior for a long time with its awesome durability."
171,Dandiya couple iron wall hanging clock,Handmade wall clock of dancing couple looks so attractive and graceful that will intensify the décor of your living room and even at your office. The hand work done over the clothes and posture with keeping an eye on every minute detailing is done so brilliantly with color selection. The wrought iron material used to create this masterpiece is light weight durable and gives a high finish to the product.
172,Peacock matka wrought iron clock,"This beautiful wall clock design will take you to the Krishna era of the peacock feather, flute, and his favorite buttermilk pot. Hand work for coloring and designing each item is only can be done by the skilled artisans. Top quality wrought iron used to prepare the product. This traditional style wall clock looks magnificent to any of your home or office wall."
173,Black lady iron wall hanging clock,"A must buy product for the art lovers. This wall clock is a unique piece that will attract every guest visits at your place. The hand works done by the artisan of India depicting a lady holding her veena along with the clock. This is not only a clock but an authentic Indian art on your wall. The stylish, light weight and long-time used product with a premium finish."
174,Elegant Terracotta Necklace Jewellery,The traditional and Elegant Golden Black Terracotta Necklace Set made using virabnt color combination you can’t go wrong with. This handmade organic terracotta jewellery has a exclusive design and color combination. The beautiful pendant and jhumka style earrings are classy and can match with your ethnic attire.
175,Traditional Terracotta Necklace,This Traditional Golden Brown Terracotta Necklace Set will give you beautiful & gorgeous look. The design is made with optimum quality raw material and handcrafted by skilled artisan of India. The jewellery is made with maximum care to ensure durability and elegance.
176,Elegant Terracotta Necklace,Elegant Golden Blue Terracotta Necklace Set in Golden and blue color in ethnic necklace design. Long double hanging earrings are included with the necklace set. This necklace set can be matched with all your outfits.
177,Blue Designer Terracotta Necklace,"You can never go wrong with this Trendy Blue Golden Designer Terracotta Necklace Set. This necklace set is handmade, Eco-friendly and made by skilled artisans. The simple yet classy terracotta necklace is perfectly crafted that can be carried with any of your favorite attire.This beautiful necklace set can be worn with a casual outfit or with a traditional Indian outfit."
178,Bird Terracotta Necklace,"The magnificent organic terracotta necklace set will go superbly with any of your traditional attire. The elegant choker neck piece including colorful bird design and hanging earring. Handcrafted jewellery decorated with natural colors, earthen clay and baked with extra care increases its durability and shows the elegance of its work."
179,Haram Terracotta Necklace,"Elegant Contemporary Golden Terracotta Necklace Set in golden color is perfect for any occasion and gives you stylish look for the day. This terracotta jewellery is crafted, baked and hand-painted with maximum care to ensure durability and elegance."
180,Leaf Design Terracotta Jewellery,The beautiful Green Leaf Style Designer Terracotta Necklace Set made using terracotta clay baked and painted with organic vibrant colors to give the necklace a unique traditional and stylish look.  Being made of Eco-friendly material this necklace is safe for skin and long-lasting. This necklace set could be worn on any ethnic attire.
181,Golden Contemporary Terracotta Set,"Handmade Golden Contemporary Terracotta Necklace Set  along with jhumka style earring. The soft thread is given on either side to give support to the beads and pendant. Crafted, fired and decorated with hands make the item durable, You can carry it with an ethnic outfit on both casual and festive occasion."
182,Lotus Terracotta Necklace,"This popular Lotus Shaped Pink Terracotta Necklace Set is elegant and attractive, it be carried on any occasion. This necklace set is suitable for both western and traditional outfits. This handmade terracotta Jewellery is crafted, tempered and hand painted from Eco-friendly material. It makes this terracotta necklace set to stay for a long time without any damage and safe for sensitivity skin women."
183,Terracotta Necklace Multicolor Pendant,"This designer Terracotta Necklace Set is crafted, tempered and painted with hands by the skilled Indian artisans. The necklace has long terracotta made chain and bead in the middle of the pendant with jhumka style earring that enhances the beauty of necklace. This trendy jewelry can be carried with both western and ethnic outfit."
184,Multilayer Terracotta Necklace,The popular terracotta beaded Yellow Black Multilayer Terracotta Necklace Set comes along with pretty jhumka style earring. It has a glossy glaze and a bright look that intensify the elegance of your ethnic attire. Grab this wonderful unique terracotta jewellery necklace at authindia.
185,Peacock Terracotta Necklace,The Multi Colored Terracotta Necklace Set With Peacock Pendant made with terracotta beads. This handcrafted designer terracotta  jewellery intensifies the grace when worn with any ethnic attire. Goes well on multiple occasions whether it’s casual or festival. The vibrant green and royal blue color with small golden colored beads all are paired together with soft satin thread looks astonishing and provide durability and elegance.
186,Premium Terracotta Necklace Set,Golden Designer Terracotta Necklace Set handcrafted by indian terracotta designers. This is an exclusive design of the terracotta necklace along with matching earrings. Hand painted with vibrant natural colors that make the necklace more attractive. The perfect piece to flaunt on a special occasion with matching hanging earrings.Safe to skin and durable.
187,Terracotta Necklace Leaf Design,"Green Petal Choker Style Terracotta Necklace Set with yellow terracotta beads, perfect for any occasions and which gives you a stylish look for the day. This terracotta jewellery is Hand-crafted, baked and painted with maximum care to ensure durability and elegance. Natural colors are used to give shades of every hue to the earthen clay and give it tones that enchant and delight."
188,Multilayer Terracotta Jewelry,"The Elegant Double Layered Golden Terracotta Necklace Set handcrafted using organic (terracotta) clay, fired and hand painted using organic color is made by the skilled terracotta artisans of India. The golden color beaded necklace with the pair of hanging earrings in the barrel-shaped string with high quality adjustable long thread to give you awesome comfort around your neck.  This necklace set is an Ideal gift for any age group in your family and friends. The terracotta jewellery can be worn with regular dresses or special occasional dresses."
189,Choker Terracotta Necklace,"This golden and yellow Choker Style Designer Terracotta Necklace Set is ethnic as well as stylish to give a perfect look for any occasion. It will make you look traditional as well as classy in your attire. This terracotta choker set is crafted, baked and painted with maximum care to ensure durability and elegance. Choker style necklace is matches well with traditional sarees."
190,Rectangle Design Terracotta Necklace,"The Antique Golden Designer Terracotta Necklace Set made using organic clay, baked and hand painted with natural golden and black colors in the medium size, rectangle shape necklace and a pair of stud earrings. The adjustable soft & long thread is given to make the necklace more convenient and give a great fit around the neck. Usually, the terracotta jewellery has weight but this stylish necklace set is lightweight. You can wear this set with every day, corporate and casual clothing."
191,Trendy Multi Color Terracotta Necklace Set,"The Trendy Multi Color Terracotta Necklace Set with a pair of matching hanging terracotta earrings will give suit best with ethnic attire. This jewellery is made by the artisan’s expert in Indian terracotta jewellery designing. The material used to make this stylish jewellery is organic river bed clay, fired and hand painted using  organic colors. The jewelry set has the high-quality soft thread that can be adjusted according to your ease. You can use it for both office and casual wear."
192,Traditional Design Terracotta Necklace,"This Ethnic design elegant Terracotta Necklace Set is trendy and classy piece of jewellery set for you. This unique terracotta jewellery is Hand-crafted, baked and painted with maximum care to ensure elegance. Natural colors are used to give shades of every hue to the earthen clay and give it tones that enchant and delight. It comes with matching pair of earring."
193,Square Pendant Designer Terracotta Set,The multi color necklace set has a handmade design and color on a square shaped pendant and chain along with matching earrings. The necklace is made from the smooth terracotta clay that gives a glossy finish to the jewelry. This designer jewellery has great durability and goes well with both ethnic and western attire.
194,Spiral Design Terracotta Necklace Set,"The spiral designed handcrafted jewellery at its best price. The fashionable and traditional neck piece goes great on any occasion with an ethnic outfit. Terracotta jewellery is crafted, fired and painted with hands and gives a glossy look to the necklace along with cute spiral earrings. Durable and graceful necklace set."
195,Terracotta Necklace Multicolor Pendant,"This designer Terracotta Necklace Set is crafted, tempered and painted with hands by the skilled Indian artisans. The necklace has long terracotta made chain and bead in the middle of the pendant with jhumka style earring that enhances the beauty of necklace. This trendy jewelry can be carried with both western and ethnic outfit."
196,Terracotta Necklace Red Pendant,"This Elegant Red Black Designer Terracotta Necklace Set is perfect piece of terracotta jewellery for a casual look. The long chain of terracotta and small beads necklace goes well with ethnic attire. It is a light weighted, long lasting and skin friendly jewelry made from Eco-friendly materials."
197,Red Black Antique Necklace,"Red Black Antique Style Terracotta Necklace Set is one of the most demanded color combination of terracotta jewellery with a matching earring. The beautifully designed necklace is crafted, baked and painted with hands. Made from organic clay that provides a glossy finish to the jewelry. This trendy terracotta jewellery goes beautifully with both western and ethnic outfits."
198,Terracotta Necklace Rainbow Design,Multi color semi-circle Rainbow Theme Designer Terracotta Necklace Set with matching hook earrings. It is a stylish neck piece that goes well with both western and traditional outfit. This regular size terracotta jewellery set is  made from smooth clay that gives a glossy touch to this necklace. Baked and hand painted with natural colors is durable item and skin friendly too.
199,Yellow Elegant Terracotta Necklace,"This handmade Yellow Elegant Terracotta Necklace Set was created using terracotta clay, fired and hand painted with extra care using organic colors. The attractive color blend is applied to make the jewelry more appealing and enhance your look. This trendy jewelry is colored using vibrant golden and red, all the beads and superbly design pendants are bonded in single soft & long adjustable thread to provide you the great fit. The necklace set comes along with trendy pair of terracotta hook earrings. You can wear this Indian fashion jewelry in both traditional and indo-western clothing for casual and formal wear."
200,Yellow Terracotta Choker Necklace,"This Pentagon Shaped Yellow Black Terracotta Necklace Set is combination of vibrant color and glossy terracotta clay finish, designed by the skilled artist of terracotta jewellery. These handmade jewellery are manufactured by the terracotta clay, fired and hand painted with great care. The elegant pentagon style multiple small pendants and beads thread in a long silk-like adjustable thread comes with the pair of stud earrings. The necklace set is hand painted with the organic colors in very attractive and unique golden and black color that will make your every occasion special. This handcrafted jewelry is a perfect gift for your loved one among your family or friends. You can wear this light weight stunning necklace set for both traditional and indo-western style apparel."
201,Golden Contemporary Terracotta Set,"Handmade Golden Contemporary Terracotta Necklace Set  along with jhumka style earring. The soft thread is given on either side to give support to the beads and pendant. Crafted, fired and decorated with hands make the item durable, You can carry it with an ethnic outfit on both casual and festive occasion."
202,Multilayer Terracotta Necklace,The popular terracotta beaded Yellow Black Multilayer Terracotta Necklace Set comes along with pretty jhumka style earring. It has a glossy glaze and a bright look that intensify the elegance of your ethnic attire. Grab this wonderful unique terracotta jewellery necklace at authindia.
203,White Terracotta Jewelry,"The handcrafted Elegant Red White Terracotta Square Pendant Necklace Set made from terracotta clay and hand painted in attractive color combination of this fashion jewelry in white, red and black. The handmade terracotta jewellery is in huge demand for all age group female especially among the college goers due to its funky style and organic material used to make these jewellery sets."
204,Multi Colored Antique Necklace,"The handcrafted triangular elegant Multi Colored Antique Style Terracotta Necklace Set designed with small beads, and chain. The vibrant color combination of the black, green and blue is great when carried with the ethnic attire on any occasion. This fashionable terracotta jewellery is manufactured from an Eco-friendly material that assures its persistence."
205,Square Pendant Terracotta Jewelry,"This Multi Colored Trendy Square Pendant Terracotta Necklace Set is a magnificent handcrafted earthen Terracotta jewellery with a wondrous appeal to gives you a ethnic look. The traditional multicolored necklace holding long beaded chain, hand-carved pendant along with a pair of jhumka style earrings. Terracotta clay and natural colors utilized to create this beautiful piece of art by the expert artisans."
206,Peacock Terracotta Necklace,The Multi Colored Terracotta Necklace Set With Peacock Pendant made with terracotta beads. This handcrafted designer terracotta  jewellery intensifies the grace when worn with any ethnic attire. Goes well on multiple occasions whether it’s casual or festival. The vibrant green and royal blue color with small golden colored beads all are paired together with soft satin thread looks astonishing and provide durability and elegance.
207,Designer Peacock Terracotta Set,Designer Peacock Pendant Dark Terracotta Necklace Set with glossy finish is perfect for women. The beautiful pendant and small beads come with hook earring. This designer jewelry you can carry comfortably with an ethnic outfit. The material used is organic terracotta clay and natural colors that are hand painted. The jewelry is long lasting and great for sensitive skin women.
